achieve ;achieve
normal;normalizing
normal;normality
normal;normally
obtain;obtain
obtain;obtainable
obtain;obtained 
obtain;obtaining
obtain;obtains
obtain;unobtainable 
participate ;participate 
participate ;participant
participate ;participants
participate ;participated
participate ;participates
participate ;participating 
participate ;participation
participate ;participatory
perceive;perceive
perceive;perceived 
perceive;perceives
perceive;perceiving 
perceive;perception 
perceive;perceptions 
positive ;positive 
positive ;positively 
potential;potential
potential;potentially 
previous;previous
previous;previously 
primary ;primary 
primary ;primarily 
purchase ;purchase 
purchase ;purchased
purchase ;purchaser
purchase ;purchasers
purchase ;purchases
purchase ;purchasing
range ;range 
range ;ranged
range ;ranges
range ;ranging
region;region
region;regional
region;regionally
region;regions
regulate;regulate
regulate;deregulated
regulate;deregulates
regulate;deregulating
regulate;deregulation
regulate;regulated
regulate;regulates
regulate;regulating
regulate;regulation 
regulate;regulations
regulate;regulator
regulate;regulators
regulate;regulatory
regulate;unregulated 
relevant ;relevant 
relevant ;irrelevance
relevant ;irrelevant
relevant ;relevance
reside ;reside 
reside ;resided
reside ;residence
reside ;resident
reside ;residential
reside ;residents
reside ;resides
reside ;residing
resource;resource
resource;resourced
resource;resourceful
resource;resources
resource;resourcing
resource;unresourceful
resource;under-resourced
restrict;restrict
restrict;restricted 
restrict;restricting
restrict;restriction 
restrict;restrictions
restrict;restrictive
restrict;restrictively 
restrict;restricts
restrict;unrestricted
restrict;unrestrictive
secure;secure
secure;insecure
secure;insecurities
secure;insecurity
secure;secured
secure;securely
secure;secures
secure;securing
secure;securities
secure;security 
seek;seek
seek;seeking
seek;seeks
seek;sought
select;select
select;selected
select;selecting
select;selection 
select;selections
select;selective
select;selectively
select;selector
select;selectors
select;selects
site;site
site;sites
strategy ;strategy 
strategy ;strategic 
strategy ;strategies
strategy ;strategically
strategy ;strategist
strategy ;strategists
survey;survey
survey;surveyed
survey;surveying
survey;surveys
text;text
text;texts
text;textual
tradition ;tradition 
tradition ;non‑traditional
tradition ;traditional
tradition ;traditionalist
tradition ;traditionally
tradition ;traditions
transfer;transfer
transfer;transferable
transfer;transference
transfer;transferred 
transfer;transferring
transfer;transfers
