abstract ;abstract 
incorporate ;incorporated 
incorporate ;incorporates 
incorporate ;incorporating  
incorporate ;incorporation 
index ;index 
index ;indexed 
index ;indexes 
index ;indexing 
inhibit ;inhibit 
inhibit ;inhibited 
inhibit ;inhibiting 
inhibit ;inhibition 
inhibit ;inhibitions 
inhibit ;inhibits 
initiate ;initiate 
initiate ;initiated 
initiate ;initiates 
initiate ;initiating 
initiate ;initiation 
initiate ;initiations
initiate ;initiative 
initiate ;initiatives  
initiate ;initiator
initiate ;initiators
input ;input 
input ;inputs 
instruct ;instruct 
instruct ;instruction
instruct ;instructed 
instruct ;instructing 
instruct ;instructions 
instruct ;instructive 
instruct ;instructor 
instruct ;instructors
instruct ;instructs 
intelligent ;intelligent 
intelligent ;intelligence
intelligent ;intelligently 
intelligent ;unintelligent 
interval ;interval 
interval ;intervals 
lecture ;lecture 
lecture ;lectured 
lecture ;lecturer 
lecture ;lecturers 
lecture ;lectures 
lecture ;lecturing 
migrate  ;migrate  
migrate  ;migrant 
migrate  ;migrants 
migrate  ;migrated 
migrate  ;migrates 
migrate  ;migrating 
migrate  ;migration 
migrate  ;migrations 
migrate  ;migratory 
minimum ;minimum 
ministry ;ministry 
ministry ;ministered
ministry ;ministering
ministry ;ministerial 
ministry ;ministries  
motive;motive
motive; motivate 
motive;motivated 
motive;motivates 
motive;motivating 
motive;motivation 
motive;motivations
motive;motives 
motive;unmotivated 
neutral ;neutral 
neutral ;neutralisation
neutral ;neutralise 
neutral ;neutralised 
neutral ;neutralises 
neutral ;neutralising 
neutral ;neutrality
neutral ;neutralization
neutral ;neutralize 
neutral ;neutralized 
neutral ;neutralizes 
neutral ;neutralizing 
nevertheless   ;nevertheless   
overseas  ;overseas  
precede ;precede 
precede ;preceded 
precede ;precedence 
precede ;precedent 
precede ;precedes 
precede ;preceding 
precede ;unprecedented 
presume ;presume 
presume ;presumably  
presume ;presumed 
presume ;presumes 
presume ;presuming 
presume ;presumption 
presume ;presumptions 
presume ;presumptuous
rational ;rational 
rational ;irrational 
rational ;rationalisation
rational ;rationalisations
rational ;rationalise 
rational ;rationalised 
rational ;rationalises 
rational ;rationalising 
rational ;rationalism
rational ;rationality
rational ;rationalization
rational ;rationalizations
rational ;rationalize 
rational ;rationalized 
rational ;rationalizes
rational ;rationally
recover ;recover 
recover ;recoverable 
recover ;recovered 
recover ;recovering 
recover ;recovers
recover ;recovery 
reveal ;reveal 
reveal ;revealed 
reveal ;revealing 
reveal ;reveals 
reveal ;revelation 
reveal ;revelations 
scope ;scope 
subsidy ;subsidy 
subsidy ;subsidiary 
subsidy ;subsidies 
subsidy ;subsidise 
subsidy ;subsidised 
subsidy ;subsidises 
subsidy ;subsidising 
subsidy ;subsidize
subsidy ;subsidized 
subsidy ;subsidizes 
subsidy ;subsidizing 
tape ;tape 
tape ;taped 
tape ;tapes 
tape ;taping 
trace ;trace 
trace ;traceable 
trace ;traced 
trace ;traces 
trace ;tracing 
transform ;transform 
transform ;transformation 
transform ;transformations 
transform ;transformed  
transform ;transforming 
transform ;transforms 
transport  ;transport  
transport  ;transportation 
transport  ;transported 
transport  ;transporter   
transport  ;transporters 
transport  ;transporting 
transport  ;transports 
underlie ;underlie 
underlie ;underlay
underlie ;underlies 
underlie ;underlying 
utilise ;utilise 
utilise ;utilisation 
utilise ;utilised 
utilise ;utilises
utilise ;utilising
utilise ;utiliser
utilise ;utilisers 
utilise ;utility 
utilise ;utilities 
utilise ;utilization 
utilise ;utilize 
utilise ;utilized 
utilise ;utilizes 
utilise ;utilizing
